dataset,question,correct_answers,generated_answer,is_correct,context_used
natural_questions,who plays unis in she's the man,"['Emily Perkins', 'Emily Perkins', 'Emily Perkins', 'Emily Perkins', 'Emily Perkins']",James Kirk.,False,False
natural_questions,who played booster in jingle all the way,"['Curtis Armstrong', 'Curtis Armstrong']",Sinbad,False,False
natural_questions,where does the term dog and pony show come from,['in the United States in the late - 19th and early - 20th centuries'],It refers to a traveling circus or sideshow in the 19th century that featured dogs performing tricks and ponies for children.,False,False
natural_questions,who is recognized as the founder of islam,"['Muhammad', 'the Islamic prophet Muhammad', 'Muhammad']",Muhammad,True,False
natural_questions,who plays emma in air bud world pup,"['Brittany Paige Bouck', 'Brittany Paige Bouck', 'Brittany Paige Bouck', 'Brittany Paige Bouck', 'Brittany Paige Bouck']",Lexi Medrano.,False,False
natural_questions,how old was sasuke when his clan died,"['seven', 'seven', 'seven', 'seven']",7 years old.,False,False
natural_questions,how long is training camp for nfl players,['at least the first few weeks'],Typically 3 weeks.,False,False
natural_questions,where do some of the natural air pollutants come from,"['Carbon dioxide', 'Dust', 'the digestion of food by animals', ""radioactive decay within the Earth 's crust"", 'wildfires', 'Vegetation', 'Volcanic activity']","Volcanoes, wildfires, dust storms, and pollen.",True,False
natural_questions,who is the pastor of new birth missionary baptist church now,"['Stephen A. Davis', 'Stephen A. Davis', 'Stephen A. Davis', 'Stephen A. Davis , pastor of New Birth Birmingham in Birmingham , Alabama']",Dr. William J. Wilson II.,False,False
natural_questions,who is doing 2018 super bowl half time show,"['Justin Timberlake', 'Justin Timberlake', 'Justin Timberlake', 'Justin Timberlake', 'Justin Timberlake']",Justin Timberlake.,True,False
natural_questions,who is playing the halftime show for the superbowl,"['Justin Timberlake', 'Justin Timberlake', 'Justin Timberlake']",Usher.,False,False
natural_questions,who hosted they think it's all over,"['comedian Nick Hancock', 'Nick Hancock', 'Lee Mack', 'Des Lynam', 'Nick Hancock', 'Lee Mack', 'Des Lynam', 'Nick Hancock', 'Lee Mack']",Alan Carr and Rob Beckett,False,False
natural_questions,where does the movie proof of life take place,"['The Republic of Tecala', 'the ( fictional ) South American country of Tecala', 'the ( fictional ) South American country of Tecala', 'the ( fictional ) South American country of Tecala']","Washington D.C., Russia, and Iran.",False,False
natural_questions,where did the saying monkey's uncle come from,['Scopes Trial in the United States'],I don't know.,False,False
natural_questions,who breaks a tie in the us senate,"['Vice President of the United States', 'The Vice President of the United States', 'The Vice President of the United States', 'Vice President of the United States', 'The Vice President of the United States']",The Vice President of the United States.,True,False
natural_questions,where does us highway 1 start and end,"['from Fort Kent , Maine , at the Canada -- US border , south to Key West , Florida', 'from Fort Kent , Maine , at the Canada -- US border', 'to Key West , Florida', 'Fort Kent , Maine', 'Key West , Florida']","US Highway 1 starts in Key West, Florida, and ends in Fort Kent, Maine.",True,False
natural_questions,who scored the most points in a single game in the nba,"['Wilt Chamberlain', 'Wilt Chamberlain', 'Wilt Chamberlain', 'Wilt Chamberlain', 'Wilt Chamberlain']",Wilt Chamberlain.,True,False
natural_questions,where is natural gas found in the us,"['Texas', 'Louisiana', 'Arkansas', 'New Mexico', 'Colorado', 'Pennsylvania', 'West Virginia', 'Wyoming', 'Pennsylvania', 'West Virginia', 'Texas', 'Louisiana', 'Arkansas', 'New Mexico', 'Colorado', 'Wyoming']","Natural gas is found throughout the US, but major deposits are in Texas, Pennsylvania, Louisiana, Oklahoma, and West Virginia.",True,False
natural_questions,when were the first general elections held in independent india,"['1951 -- 52', '1951 -- 52', '1951 -- 52']",1951-1952,False,False
natural_questions,what was the tower of london originally used for,"['a royal residence', 'a royal residence', 'as a royal residence']",A royal residence and fortress.,True,False
natural_questions,what type of fuel goes in a zippo,"['butane', 'lighter fluid']",Naphtha,False,False
natural_questions,first jnanpith award was an autor of which language,"['Malayalam', 'Malayalam', 'Malayalam', 'Malayalam', 'Malayalam']",Sanskrit.,False,False
natural_questions,who played the mad hatter in the batman tv show,"['David Wayne', 'David Wayne', 'Roddy McDowall', 'Benedict Samuel', 'David Wayne', 'David Wayne']",Burgess Meredith,False,False
natural_questions,how many cracker barrels in the united states,"['more than 600', '639', '639', '639', '639']",Approximately 765.,False,False
natural_questions,in photosynthesis the carbon in co2 is initially fixed to what molecule,['3 - phosphoglycerate'],RuBP,False,False
natural_questions,who voices randy in f is for family,"['T.J. Miller', 'T.J. Miller', 'T.J. Miller', 'T.J. Miller', 'T.J. Miller']",Keith David,False,False
natural_questions,how many countries does cadbury sell its products,"['more than 50 countries worldwide', 'more than 50 countries worldwide', 'more than 50', 'more than 50']",Over 30.,False,False
natural_questions,ethiopia flight 961 crashes in to the sea,['23 November 1996'],I don't know.,False,False
natural_questions,what does istj mean in a personality test,"['Introverted Sensing ( Si )', 'Extroverted Thinking ( Te )', 'Introverted Feeling ( Fi )', 'Extroverted Intuition ( Ne )']","Introverted, Sensing, Thinking, Judging.",False,False
natural_questions,who does the voice of ash in sing,"['Scarlett Johansson', 'Scarlett Johansson', 'Scarlett Johansson', 'Scarlett Johansson']",Johnny Yong Bosch,False,False
natural_questions,who scored the most points in their nba career,"['Kareem Abdul - Jabbar', 'Kareem Abdul - Jabbar', 'Kareem Abdul - Jabbar', 'Kareem Abdul - Jabbar', 'Kareem Abdul - Jabbar']",LeBron James,False,False
natural_questions,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,['25'],32nd.,False,False
natural_questions,who plays charles on have and have nots,"['Nick Sager', 'Nick Sagar', 'Nick Sagar', 'Nick Sager', 'Nick Sagar']",Aaron Clifton Otis.,False,False
natural_questions,where is nathan's hotdog eating contest held,"[""at Nathan 's Famous Corporation 's original , and best - known restaurant at the corner of Surf and Stillwell Avenues in Coney Island , a neighborhood of Brooklyn , New York City"", ""at Nathan 's Famous Corporation 's original , and best - known restaurant at the corner of Surf and Stillwell Avenues in Coney Island , a neighborhood of Brooklyn , New York City"", ""at Nathan 's Famous Corporation 's original , and best - known restaurant at the corner of Surf and Stillwell Avenues in Coney Island , a neighborhood of Brooklyn , New York City"", ""at Nathan 's Famous Corporation 's original , and best - known restaurant at the corner of Surf and Stillwell Avenues in Coney Island , a neighborhood of Brooklyn , New York City"", ""at Nathan 's Famous Corporation 's original , and best - known restaurant at the corner of Surf and Stillwell Avenues in Coney Island , a neighborhood of Brooklyn , New York City""]","Coney Island, New York.",True,False
natural_questions,who wrote the book my country my life,"['L.K. Advani , an Indian politician who served as the Deputy Prime Minister of India from 2002 to 2004 , and was the Leader of the Opposition in the 15th Lok Sabha', 'L.K. Advani', 'L.K. Advani', 'L.K. Advani , an Indian politician who served as the Deputy Prime Minister of India from 2002 to 2004 , and was the Leader of the Opposition in the 15th Lok Sabha', 'L.K. Advani']",Khushwant Singh.,False,False
natural_questions,what does it mean to be on parole,"['a temporary release of a prisoner who agrees to certain conditions before the completion of the maximum sentence period', 'temporary release of a prisoner who agrees to certain conditions before the completion of the maximum sentence period']",To be released from prison early under supervision and with conditions.,False,False
natural_questions,when did the east india company take control of india,"['in 1757', '1612', '1757', '1799']",1757,True,False
natural_questions,the origins of the stations of the cross,"['Via Dolorosa in Jerusalem which is believed to be the actual path Jesus walked to Mount Calvary', 'pilgrimages to Jerusalem and a desire to reproduce Via Dolorosa', 'grew out of imitations of Via Dolorosa in Jerusalem which is believed to be the actual path Jesus walked to Mount Calvary']",They originated in the 14th century as pilgrims retraced Christ’s steps to Calvary in Jerusalem.,False,False
natural_questions,where does the water come from to fill lake eyre,['Warburton River'],Primarily from rainfall and rivers (the Diamantina and Georgina) flowing in from Queensland and South Australia.,False,False
natural_questions,who is the founder of google and when was it founded,"['1998', 'Larry Page and Sergey Brin', '1998', 'Larry Page', 'Sergey Brin', '1998 by Larry Page and Sergey Brin']","Larry Page and Sergey Brin, 1998.",True,False
natural_questions,who did the dominican republic gain its independence from,"['Haiti', 'Haiti', 'Haiti', 'Haiti', 'Haiti']",Haiti.,True,False
natural_questions,how did early humans make use of stones during the prehistoric period,"['start fires', 'hunt', 'bury their dead', 'to start fires , hunt , and bury their dead']","Early humans used stones for tools (chopping, scraping, cutting), weapons, and building materials.",False,False
natural_questions,who wrote the text for jeanie with the light brown hair,"['Stephen Foster', 'Stephen Foster', 'Stephen Foster', 'Stephen Foster', 'Stephen Foster']",Stephen Foster.,True,False
natural_questions,the basic steps of rational decision making include defining goals and,"['Identification of alternative plans / policies', 'Evaluation of alternative plans / policies', 'Implementation of plans / policies', 'Monitoring of effects of plans / policies']",generating alternatives.,False,False
natural_questions,when was the design period known as art deco,['1910 -- 1939'],Roughly 1920s to 1930s.,False,False
natural_questions,where does the bob and tom show broadcast from,"['WFBQ in Indianapolis , Indiana', 'radio station WFBQ in Indianapolis , Indiana', 'Indianapolis , Indiana', 'radio station WFBQ in Indianapolis , Indiana']","Indianapolis, Indiana.",True,False
natural_questions,star wars the clone wars season 3 episode 1,['Clone Cadets'],Holtzclaw Crisis.,False,False
natural_questions,what part of brain is responsible for complex thinking,['the frontal lobe'],The prefrontal cortex.,False,False
natural_questions,who won the champions league final in 2016,"['Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid', 'Real Madrid']",Real Madrid,True,False
natural_questions,who has the most gold medals in the winter olympics of all time,"['Norway', 'Norway', 'Norway']",Marit Bjørgen.,False,False
natural_questions,where was the movie strangers prey at night filmed,"['Covington , Kentucky', 'Covington , Kentucky', 'Covington , Kentucky', 'Covington , Kentucky']",Romania and Bulgaria.,False,False
natural_questions,what order do the captain america movies go in,"['Captain America : The First Avenger', 'Captain America : The Winter Soldier', 'Captain America : Civil War']","Captain America: The First Avenger, Captain America: The Winter Soldier, Captain America: Civil War, Captain America: Brave New World",True,False
natural_questions,when does a limit of a function not exist,"['if some inputs very close to p are taken to outputs that stay a fixed distance apart', 'if some inputs very close to p are taken to outputs that stay a fixed distance apart', 'if some inputs very close to p are taken to outputs that stay a fixed distance apart']","When the function approaches different values from the left and right, or if it oscillates without approaching a specific value.",False,False
natural_questions,when was i don't like mondays released,"['21 July 1979', '21 July 1979', '1979', '21 July 1979']",1986,False,False
natural_questions,what do the economic systems of the uk germany and russia have in common,['reached an economy of at least US $2 trillion by GDP in nominal or PPP terms'],They all incorporate elements of both market and planned economies to varying degrees.,False,False
natural_questions,what does the sun represent on the uruguay flag,"['represents the May Revolution of 1810', 'a figurative sun that represents Inti , the sun god of the Inca religion', 'the May Revolution of 1810', 'the May Revolution of 1810', 'the May Revolution of 1810', 'Inti , the sun god of the Inca religion']","The sun represents Inti, the Incan sun god.",True,False
natural_questions,who dies in season 2 of the originals,"['Kol', 'Kol', 'Kol']",Elijah Mikaelson dies in season 2 of The Originals.,False,False
natural_questions,when did beryl markham fly across the atlantic,"['September 1936', '4 September 1936', '4 September 1936', '4 September 1936', '4 September 1936']",1937,False,False
natural_questions,who played john clark sr on nypd blue,"['Joe Spano', 'Joe Spano', 'Joe Spano', 'Joe Spano', 'Joe Spano']",Dennis Franz.,False,False
natural_questions,what does the pearl symbolize in the bible,['the Kingdom of Heaven'],The Bible doesn't explicitly mention pearls or their symbolism. I don't know.,False,False
natural_questions,when did the song here comes the boom come out,"['May 2002', 'May 14 , 2002', 'May 2002']",2014,False,False
natural_questions,does archie end up with betty or veronica in riverdale,"['Betty', 'neither issue made it clear whether Archie was married to Betty or Veronica']","It's complicated, but ultimately he ends up with Betty.",True,False
natural_questions,who wrote most of the declaration of independance,"['Thomas Jefferson', 'Thomas Jefferson', 'Thomas Jefferson', 'Thomas Jefferson', 'Thomas Jefferson']",Thomas Jefferson,True,False
natural_questions,who does brant daugherty play in pretty little liars,"['Noel Kahn', 'Noel Kahn', 'Noel Kahn', 'Noel Kahn', 'Noel Kahn']",Noel Kahn.,True,False
natural_questions,how does the power of judicial review check the legislative and executive branches,['to supervise the legislative and executive branches when the latter exceed their authority'],"Judicial review allows courts to declare laws or executive actions unconstitutional, limiting their powers.",False,False
natural_questions,who played amy grant i i can only imagine,"['Nicole DuPort', 'Nicole DuPort', 'Nicole DuPort']","Amy Grant herself sang ""I Can Only Imagine.""",False,False
natural_questions,art of learning from text objects or speech,"['Natural - language processing ( NLP )', 'Natural - language processing ( NLP )']",Natural Language Processing (NLP),True,False
natural_questions,india gdp growth rate in last 10 years,['6 - 7 % average GDP growth annually'],"Roughly between 5% and 8%, with fluctuations. I don't know the exact figures for each year.",False,False
natural_questions,who played the villain in tiger zinda hai,"['Sajjad Delafrooz', 'Sajjad Delafrooz']",Ranveer Singh.,False,False
natural_questions,when did under the cork tree come out,"['May 3 , 2005', 'May 3 , 2005', 'May 3 , 2005', 'May 3 , 2005', 'May 3 , 2005']",2019,False,False
natural_questions,when did korea separate into north and south,"['1945', '1945', '17 August 1945', '1945']",1945,True,False
natural_questions,who discovered the atom and in what year,"['John Dalton', 'early 1800s']",John Dalton proposed the atomic theory in 1803.,True,False
natural_questions,what is the purpose of the muscles that line the esophagus,"['push the food down the esophagus', 'push the food down the esophagus', 'push the food down the esophagus .']",To propel food from the mouth to the stomach through peristalsis.,False,False
natural_questions,creating appropriation bills falls under which power of congress,['raising revenue'],Power of the purse.,False,False
natural_questions,who is the movie wonder based off of,['on the 2012 novel of the same name by R.J. Palacio'],"R.J. Palacio's novel ""Wonder""",False,False
natural_questions,where does eye of the round roast come from,"['the rear leg of the cow', 'the rear leg of the cow', 'the rear leg of the cow']",The chuck primal cut.,False,False
natural_questions,who sings the song let me love you,"['Justin Bieber', 'Singh H Spot', 'Justin Bieber', 'Singh H Spot', 'DJ Snake featuring Justin Bieber']",Justin Bieber.,True,False
natural_questions,how many seasons are there for lost girl,"['five', '5', 'five', 'five']",5,True,False
natural_questions,who is the leading african producer of wool,"['South Africa', 'Sudan']",South Africa.,True,False
natural_questions,where was the first nhl hockey game played,"['Montreal', 'Ottawa']","Montreal, Quebec.",True,False
natural_questions,how many inches is the iphone 5s screen,"['4 - inch screen size', '4 in', '4 in ( 10 cm )', '4 in ( 10 cm )']",4.0 inches.,False,False
natural_questions,where do the signals for apoptosis come from,['from other cells'],Both internal and external factors.,False,False
natural_questions,who made delhi as capital for the first time,['the Pandavas'],Anangpal Tomar.,False,False
natural_questions,what was the first capital city of australia,"['Melbourne', 'Sydney', 'New South Wales', 'Melbourne', 'Melbourne']",Sydney.,True,False
natural_questions,who won the womens 2017 ncaa basketball tournament,"['South Carolina', 'South Carolina', 'South Carolina', 'South Carolina', 'South Carolina']",South Carolina,True,False
natural_questions,how many episodes of ray donovan series 3 are there,"['12', '12', '12', '12', '60']",12,True,False
natural_questions,when does canada switch to daylight savings time,"['the second Sunday of March', 'the second Sunday of March', 'the second Sunday of March']",The second Sunday in March.,True,False
natural_questions,where does jack ryan live in patriot games,"['Chesapeake Bay , south of Annapolis in Maryland', 'Baltimore , Maryland', 'Chesapeake Bay , south of Annapolis in Maryland']",London.,False,False
natural_questions,who gave the famous objective co relative theory,"['T.S. Eliot', 'T.S. Eliot', 'T.S. Eliot', 'poet and literary critic T.S. Eliot', 'T.S. Eliot']",John Locke,False,False
natural_questions,what is the meaning of the name mandy,"['Lovable', 'Lovable', 'Lovable', 'Lovable']","Mandy is a diminutive of Amanda, which means ""worthy protector"" or ""loved.""",False,False
natural_questions,paleomagnetism is a dating method based on changes in the earth's polarity as demonstrated by,['volcanic and sedimentary rock sequences ( magnetostratigraphy )'],magnetic minerals in rocks.,False,False
natural_questions,what happened to the actor who played frost on rizzoli and isles,"['committed suicide', 'Lee Thompson Young']",Lee Thompson Young died by suicide in 2013.,True,False
natural_questions,where do bullets go when fired in the air,['bullets discharged into the air fall back down to the ground'],They fall back to Earth due to gravity.,False,False
natural_questions,who was the highest ranking official in the early christian church,"[""The pope , Bishop of Rome and Peter 's successor""]",The Pope.,True,False
natural_questions,where did the keep calm thing come from,"['a motivational poster produced by the British government in 1939 in preparation for World War II', 'motivational poster produced by the British government in 1939 in preparation for World War II']","It was a British motivational poster campaign produced by the Ministry of Information during World War II, but it wasn't widely used then and gained popularity much later online.",False,False
natural_questions,which domain of life are humans members of,"['Eukarya', 'Eukarya']",Eukarya.,True,False
natural_questions,when do replays become available on nfl game pass,"['after their original live broadcasts end', 'after their original live broadcasts end', 'after their original live broadcasts end', 'full replays of all the games become available on demand after their original live broadcasts end', 'after their original live broadcasts end']",Typically within 24 hours of the live game.,False,False
natural_questions,where does the last name perry come from,['Old English pyrige ( pear tree )'],"It has multiple origins, including English (locational or occupational) and French (a nickname).",False,False
natural_questions,when is the new jurassic world game coming out,"['June 12 , 2018', 'June 12 , 2018', 'June 12 , 2018', 'June 12 , 2018', 'June 12 , 2018']","June 7, 2024.",False,False
natural_questions,what was the alliance between great britian russia and france known as,"['The Triple Entente', 'The Triple Entente', 'The Triple Entente', 'The Triple Entente', 'The Triple Entente']",The Triple Entente.,True,False
natural_questions,when was the death penalty reinstated in oregon,['1984'],1984,True,False
natural_questions,what was icq as related to instant messaging,"['an instant messaging client that was first developed and popularized by the Israeli company Mirabilis in 1996', 'an instant messaging client', 'the first online instant messenger service', 'the first stand - alone instant messenger']",ICQ was an early and popular instant messaging program.,True,False
natural_questions,when does season 3 of the riveras start,"['March 11 , 2018', 'March 11 , 2018', 'March 11 , 2018', 'March 11 , 2018', 'March 11 , 2018']",I don't know.,False,False
natural_questions,chandra and bhaga river meets at the place,"['Tandi , in Lahaul', 'Tandi , in Lahaul', 'Tandi , in Lahaul', 'at Tandi , in Lahaul']",Devprayag.,False,False
natural_questions,who took part in the american civil war,"['nationalists of the Union', ""secessionists of the Confederate States , who advocated for states ' rights to expand slavery""]",The Union (North) and the Confederacy (South).,False,False
natural_questions,when was the national flag of india adopted,"['during a meeting of the Constituent Assembly held on 22 July 1947', '22 July 1947', '22 July 1947', '22 July 1947', '15 August 1947']","July 22, 1947",True,False
natural_questions,what was the most important new religious figure of the new kingdom of ancient egypt,"['the Aten , a representation of the Egyptian god , Ra', 'Aten']",Akhenaten.,True,False
natural_questions,who is often associated with printing the first book using moveable type in germany,"['Johannes Gutenberg', 'Johannes Gutenberg', 'Johannes Gutenberg', 'Johannes Gutenberg', 'Johannes Gutenberg']",Johannes Gutenberg.,True,False
natural_questions,when does the sa node begin electrical signaling,"['spontaneously', 'spontaneously generated']",At birth.,False,False
natural_questions,who are the artists in the traveling wilburys,"['Bob Dylan', 'George Harrison', 'Jeff Lynne', 'Roy Orbison', 'Tom Petty', 'Bob Dylan', 'George Harrison', 'Jeff Lynne', 'Roy Orbison', 'Tom Petty', 'Bob Dylan', 'George Harrison', 'Jeff Lynne', 'Roy Orbison', 'Tom Petty', 'Bob Dylan', 'George Harrison', 'Jeff Lynne', 'Roy Orbison', 'Tom Petty', 'Bob Dylan', 'George Harrison', 'Jeff Lynne', 'Roy Orbison', 'Tom Petty']","Bob Dylan, George Harrison, Jeff Lynne, Tom Petty, and Roy Orbison.",True,False
natural_questions,who plays artemisia in 300 rise of an empire,"['Eva Green', 'Eva Green', 'Caitlin Carmichael', 'Jade Chynoweth', 'Eva Green', 'Caitlin Carmichael as 8 - year - old Artemisia', 'Jade Chynoweth as 13 - year - old Artemisia', 'Eva Green', 'Caitlin Carmichael as 8 - year - old Artemisia', 'Jade Chynoweth as 13 - year - old Artemisia']",Eva Green.,True,False
natural_questions,who is the most played artist on spotify,"['Ed Sheeran', 'Ed Sheeran', 'Justin Bieber']",Taylor Swift,False,False
natural_questions,which term describes the replacement of damaged cells to mend a tissue,['Stromal cells'],Regeneration.,False,False
natural_questions,where are haploid cells found in the human body,"['sperm', 'ova', 'sperm or egg cells', 'gametes ( sperm or egg cells )']",In sperm and egg cells (ovum).,True,False
natural_questions,form from material that has accumulated on the earths surface,['Sedimentary rock'],Sediments,False,False
natural_questions,where is the opposition with jordan klepper filmed,"['Hotel Pennsylvania , New York City', 'Hotel Pennsylvania , New York City', 'Hotel Pennsylvania , New York City']","Times Square, New York City.",False,False
natural_questions,how does olivia secure the love of the man she believes to be cesario,['by using various tricks and problems'],"Olivia secures the love of Cesario (Viola in disguise) by showering him with affection and gifts, despite his repeated rejections on behalf of Orsino.",False,False
natural_questions,when is the last time the new york giants won the super bowl,['( 2011'],2012,False,False
natural_questions,nickname given to railroad executives due to shady practices of their businesses,"['Robber Barons', 'Robber baron']",Robber Barons,True,False
natural_questions,who is young george bailey in it's a wonderful life,"['Robert James Anderson', 'Robert James Anderson', 'Robert James Anderson', 'Robert James Anderson', 'Robert James Anderson']",Jimmy Stewart.,False,False
natural_questions,who won the battle of stirling bridge 1297,"['the forces of Andrew Moray and William Wallace', 'Scottish victory', 'Andrew Moray', 'William Wallace', 'the forces of Andrew Moray and William Wallace']","The Scots, led by William Wallace and Andrew Moray.",True,False
natural_questions,who plays dylan in daddy's home 2,"['Owen Vaccaro', 'Owen Vaccaro', 'Owen Vaccaro', 'Owen Vaccaro', 'Owen Vaccaro']",Chris O'Donnell.,False,False
natural_questions,where is the tablet of the ten commandments,"['in the Ark of the Covenant', 'Ark of the Covenant', 'in the Ark of the Covenant']",I don't know.,False,False
natural_questions,where does the chinatown bus stop in nyc,"[""Forsyth Street at the foot of the Manhattan Bridge in the Little Fuzhou neighborhood within Manhattan 's Chinatown"", 'the sidewalk between Division Street and East Broadway']","It varies depending on the specific Chinatown Bus company, but common locations include Canal Street and Bowery, or near Chinatown in Manhattan.",False,False
natural_questions,when did the right to buy scheme start,"['1980', '1980', '1980', '1980', '1980']",1980,True,False
natural_questions,what is a cvv code on a visa gift card,"[""a security feature for `` card not present '' payment card transactions instituted to reduce the incidence of credit card fraud""]","It's a three- or four-digit security code located on the back of the card, used to verify transactions.",False,False
natural_questions,how many ounces in one shot of liquor,['1.25 -- 1.5 US fl oz ( 37 -- 44 ml )'],1.5 ounces.,False,False
natural_questions,who sang will i see you in september,['the Pittsburgh vocal group The Tempos'],The Supremes.,False,False
natural_questions,who issued gold coins for the first time in india,['Gupta Empire'],The Kushan Empire.,False,False
natural_questions,how many players have scored 10000 runs in odi,"['11', 'eleven', 'eleven', '11']",9,False,False
natural_questions,what is the movie new jersey drive about,"['joy riding black teenagers in 1990s Newark , New Jersey', 'joy riding black teenagers in 1990s Newark , New Jersey', ""joy riding black teenagers in 1990s Newark , New Jersey , then known as the `` car theft capital of the world ''""]","It's a neo-noir crime thriller about a getaway driver in Newark, New Jersey, who gets caught up in a robbery gone wrong and must navigate dangerous situations to protect himself and his family.",False,False
natural_questions,what do mobile numbers start with in the uk,['0'],07,True,False
natural_questions,who has won the most f1 grand prix,"['Michael Schumacher', 'Michael Schumacher', 'Michael Schumacher', 'Michael Schumacher', 'Michael Schumacher']",Michael Schumacher.,True,False
natural_questions,who is the present rajya sabha speaker of india,['Venkaiah Naidu'],I don't know.,False,False
natural_questions,latest series of keeping up with the kardashians,"['14', '14']",I don't know.,False,False
