dataset,question,correct_answer,generated_answer,is_correct,context_used
ru_rag,Как звали брата Авеля?,Каин,Каин.,True,False
ru_rag,"Какое единоборство принесло голливудской звезде Жан-Клоду Ван Дамму прозвище ""мускулы из Брюсселя""",карате,Муай-тай.,False,False
ru_rag,Какой герой послужил прототипом А. Толстому для создания образа Буратино?,Пиноккио,Пьеро.,False,False
ru_rag,Какой художник заставил запорожцев написать письмо турецкому султану?,Репин,Илья Репин.,True,False
ru_rag,Кто из ахейцев-героев Троянской войны был мужем Клитемнестры?,Агамемнон,Агамемнон.,True,False
ru_rag,Где находится Афон – святая гора?,Греция,"На северо-востоке Греции, на полуострове Халкидики.",False,False
ru_rag,Какая участь ждала Гитлера?,самоубийство,Самоубийство.,True,False
ru_rag,Куда впадает река Уссури?,Амур,Японское море.,False,False
ru_rag,"В какой земле Германии находится старинный город Веймар, где расположены музеи И. В. Гете, И. Ф. Шиллера и Ф. Листа?",Тюрингия,Тюрингия (Thüringen).,True,False
ru_rag,Какая болезнь развилась у Бетховена в последние годы жизни?,Глухота,I don't know.,False,False
ru_rag,Кто такие «морские свиньи»?,Киты (подотряд зубатых китов),Морские свиньи - это грызуны из семейства карликовых енотов. (Guinea pigs are rodents from the dwarf raccoon family.),False,False
ru_rag,"Какой стране принадлежит остров Мадейра, давший название крепкому вину мадере?",Португалии,Португалии.,True,False
ru_rag,"Кто автор строк: ""Белеет парус одинокий...""?",М.Ю.Лермонтов,Михаил Лермонтов.,False,False
ru_rag,Какой город является столицей республики Бурятия?,Улан-Удэ,Улан-Удэ.,True,False
ru_rag,Где расположен Пиренейский полуостров?,Европа,В Европе.,False,False
ru_rag,Какой титул был у Мюнхгаузена?,Барон,Барон.,True,False
ru_rag,Какая наука изучает атмосферу и её состав?,Метеорология,Метеорология (Meteorology),True,False
ru_rag,Как называлась столица государства ацтеков?,Теночтитлан,Теночтитлан.,True,False
ru_rag,В каком городе аэропорт назван именем Джона Леннона,Ливерпуль,Ливерпуль (Liverpool),True,False
ru_rag,"Кто из персонажей романа Л.Н.Толстого ""Война и мир"" является мужем Наташи Ростовой?",Пьер Безухов,Пьер Безухов.,True,False
ru_rag,В какой легкоатлетической дисциплине олимпийский рекорд Боба Бимона 1968 года был побит только в 1991,Прыжки в длинну,Бег на 100 метров.,False,False
ru_rag,"Кто написал текст российского гимна «Боже, царя храни»?",Василий Жуковский,В. С. Соловьёв и С. А. Бортиняк.,False,False
ru_rag,Кто из великих художников Возрождения расписывал Сикстинскую капеллу Ватикана?,Микеланджело,Микеланджело.,True,False
ru_rag,Какой язык является государственным языком Эфиопии?,Амхарский,Амхарский.,True,False
ru_rag,Какой город является административным центром (столицей) штата Техас?,Остин,Остин.,True,False
ru_rag,Какой из городов является столицей Швейцарской конфедерации?,Берн,Берн.,True,False
ru_rag,В каком созвездии самая яркая звезда называется Вега?,Лира,Лира (Lyra).,True,False
ru_rag,Кто победил на конкурсе ''Мисс Мира'' в 1994 году?,Айшвария Рай,Шонна Муи (Shona Muire) из Индии.,False,False
ru_rag,В каком городе обосновалось коллаборационистское правительство Петена в период оккупации Франции немецкими войсками?,Виши,Виши.,True,False
ru_rag,"Кто создал Лестерский кодекс - тетрадь научных работ, которую Билл Гейтс приобрел за 30 миллионов долларов?",Леонардо да Винчи,Leonardo da Vinci created the Leicester Codex.,False,False
ru_rag,Как называются денежные купюры Армении?,драмы,Драмы.,True,False
ru_rag,Какая единица в системе СИ носит имя изобретателя Николы Тесла?,Магнитной индукции,"Tesla (Т), unit of magnetic flux density.",False,False
ru_rag,В каком городе родился пророк Мухаммед (Магомет)?,Мекка,Мекка.,True,False
ru_rag,В каком стиле работал архитектор Растрелли?,Барокко,Барокко и рококо.,True,False
ru_rag,Как звали лошадь Дон Кихота?,Росинант,Росинант.,True,False
ru_rag,Где правит королевский дом Бернадотов?,Швеция,Швеция.,True,False
ru_rag,Какой город является столицей штата Аляска?,Джуно,Джуно (Juneau),True,False
ru_rag,В какой из стран есть курорты Солнечный День и Солнечный Берег?,В Болгарии,Болгария.,False,False
ru_rag,"Сыном какой страны был Эдмунд Хиллари, первым вместе с шерпом Н. Тенцингом покорившим Эверест?",Новая Зеландия,Новая Зеландия.,True,False
ru_rag,На каком острове находится вулкан Фудзияма?,Хонсю,Остров Хонсю.,True,False
ru_rag,"В каком городе происходит действие повести Марка Твена ""Принц и нищий""?",Лондон,Рим.,False,False
ru_rag,Где находится Танталова пещера?,Австрия,"В Греции, недалеко от города Калабака.",False,False
ru_rag,"Какая группа записала музыкальный альбом ""Актриса Весна""?","""ДДТ""",DDT.,False,False
ru_rag,Какой композитор написал первую советскую рок-оперу «Орфей и Эвридика»?,Александр Журбин,Арсений Тарковский.,False,False
ru_rag,Как звали жену Рембрандта?,Саския,Саскія ван Уйтенбург.,False,False
ru_rag,"Кто написал музыку к песне ""Подмосковные вечера""?",Соловьев-Седой,Василий Соловьёв.,False,False
ru_rag,Кто был матерью Ивана Грозного?,Елена Глинская,Елена Глинская.,True,False
ru_rag,"Каков жанр произведения А.С.Пушкина ""Капитанская дочка""?",Повесть,Исторический роман.,False,False
ru_rag,Какой город архитектор Оскар Нимейер возвел ''на пустом месте''?,Бразилия,Бразилиа.,False,False
ru_rag,Какая гора - наивысшая точка Кавказа?,Эльбрус,Эльбрус.,True,False
ru_rag,В какой стране течет река Оранжевая?,ЮАР,Южная Африка и Намибия.,False,False
ru_rag,Какая певица вышла замуж за капитана футбольной команды «Зенит» Владислава Радимова?,Татьяна Буланова,Валерия.,False,False
ru_rag,Какой стране принадлежит домен высшего уровня .co?,Колумбия,Колумбия.,True,False
ru_rag,"В каком музее мира находится картина Винсента Ван Гога ""Красные виноградники в Арле""?","Гос. Музей изобразительных искусств им. А.С.Пушкина, Москва.",Музей д’Орсе (Musée d'Orsay) в Париже.,False,False
ru_rag,Гражданином какой страны был открыватель пенициллина Александр Флеминг?,Великобритания.,Великобритании.,False,False
ru_rag,Кто написал оперу Евгений Онегин?,П. И. Чайковский,Пётр Ильич Чайковский (Pyotr Ilyich Tchaikovsky).,False,False
ru_rag,Какой город является центром Уральского федерального округа?,Екатеринбург,Екатеринбург.,True,False
ru_rag,"Кинематографисты какой страны сняли знаменитый телесериал ""Ставка больше чем жизнь""?",ПНР (Польская народная республика),Советского Союза (USSR).,False,False
ru_rag,Кто изобрёл фонограф - устройство для записи и воспроизведения голоса?,Томас Эдисон,Томас Эдисон.,True,False
ru_rag,"Кто из космонавтов участвовал в совместном с США полете ""Союз - Аполлон""?","Алексей Леонов, Валерий Кубасов, Томас Стаффорд, Вэнс Бранд, Дональд Слейтон.",Владимир Джанибеков и Евгений Хрунов.,False,False
ru_rag,Кем был по футбольному амплуа известный физик Нильс Бор?,Вратарь,I don't know.,False,False
ru_rag,Какая река протекает по Большому Каньону в США?,Колорадо,Колорадо.,True,False
ru_rag,Какая команда стала последним чемпионом СССР по футболу?,ЦСКА Москва,Динамо Киев.,False,False
ru_rag,Какой стадион принимал финал чемпионата мира по футболу 1966 года?,Уэмбли (Лондон),Стадион Уэмбли.,False,False
ru_rag,Какой город является столицей Свазиленда?,Мбабане,Мбабанэ.,False,False
ru_rag,В какой стране находится гора Косцюшко?,Австралия,Австралия.,True,False
ru_rag,В какой стране родился танец ФЛАМЕНКО?,Испания,Испания.,True,False
ru_rag,Какая физическая величина измеряется в ньютонах на метр?,Момент силы,Напряжение (Stress).,False,False
ru_rag,Где находятся Карлсбадские пещеры?,США,"В штате Нью-Мексико, США.",True,False
ru_rag,"Кого в Англии называют ""синими воротничками""?",Рабочих,I don't know.,False,False
ru_rag,"Кто ввёл термин ""Эдипов комплекс""?",Зигмунд Фрейд  в 1910 году в небольшой работе «Об особом типе выбора объекта у мужчин»,Зигмунд Фрейд.,False,False
ru_rag,Где находится вулкан Этна?,"Италия, Регион Сицилия, Провинция Катания (действующий, 3329 м)","На Сицилии, Италия.",False,False
ru_rag,В какой стране находится Мекка?,Саудовская Аравия,Саудовская Аравия.,True,False
ru_rag,"Кто написал роман ""На маяк""?",Вирджиния Вулф,Иван Бунин.,False,False
ru_rag,Где родился Дмитрий Дмитриевич Шостакович?,в Санкт-Петербурге,Оренбург.,False,False
ru_rag,В каком городе расположен Альгамбра?,В Гранаде.,Гранада.,False,False
ru_rag,В каком городе расположен Тадж - Махал?,В Агре.,Агра.,False,False
ru_rag,"Какой автомобильной компании принадлежит марка ""Плимут""?",Крайслер,Компания «Крайслер».,True,False
ru_rag,Какой стране принадлежит домен высшего уровня .mo?,макао,Мозамбик.,False,False
ru_rag,В каком городе пребывает Международный суд ООН?,Гаага,Гаага.,True,False
ru_rag,Кем был по национальности лидер Югославии Иосип Броз Тито?,Хорват,Хорват.,True,False
ru_rag,Какая пьеса Шекспира легла в основу сюжета мюзикла «Вестсайдская история»?,«Ромео и Джульетта»,Ромео и Джульетта.,False,False
ru_rag,"Кто написал картину ""Сад земных наслаждений""?",Иероним Босх,Иероним Босх.,True,False
ru_rag,Кто стал мужем Елены Троянской?,Менелай,Парис.,False,False
ru_rag,В какой стране одно время правили сандинисты?,Никарагуа,Никарагуа.,True,False
ru_rag,"Кто написал ""Лестерский кодекс"" который в 1994 году купил Бил Гейтс за более чем 30 миллионов долларов?",Леонардо Да Винчи,Леонардо да Винчи.,True,False
ru_rag,Какой город является столицей Северной Ирландии?,Белфаст,Белфаст.,True,False
ru_rag,Как называется столица Кампучии?,Пномпень,Пномпень.,True,False
ru_rag,Где в теле человека расположена плюсна?,Стопа,На стопе.,False,False
ru_rag,"Как назывался первый в социалистической Польше независимый профсоюз, во главе которого стоял будущий президент Лех Валенса?","""Солидарность''","""Solidarność"" (Solidarity).",False,False
ru_rag,К какой стране принадлежит производитель BMW?,Германия,Германия.,True,False
ru_rag,Где находится озеро Балатон,Венгрия,В Венгрии и Австрии.,False,False
ru_rag,В какой стране законодательную власть осуществляет кнессет?,Израиль,Израиль.,True,False
ru_rag,Какой город является столицей государства Руанда?,Кигали,Кигали.,True,False
ru_rag,В каком архитектурном стиле возведён Казанский собор,классицизм,Неоклассицизм.,True,False
ru_rag,"Кто был основателем компании ""Audi""?",Август Хорьх,August Horch.,False,False
ru_rag,Кто является режиссером скандального телесериала «Школа»?,Валерия Гай-Германика,Кирилл Сухов.,False,False
ru_rag,В какой стране действует террористическая организация с аббревиатурой ЭТА?,Испания,Испания.,True,False
ru_rag,В какой стране изобрели блюдо ризотто?,Италия,Италия.,True,False
ru_rag,Какие виды спорта входят в десятиборье?,"Бег на 100 метров, прыжки в длину, толкание ядра, прыжки в высоту, бег на 400 метров, бег на 110 метров с барьерами, метание диска, прыжки с шестом, метание копья, бег на 1500 метров.","Бег, прыжки и метания.",False,False
ru_rag,Каким видом единоборства виртуозно владеет Стивен Сигал?,Айкидо,Айкидо и карате.,True,False
ru_rag,"Кто автор романа ""Острие бритвы""?","роман Сомерсета Моэма, изданный в 1944 г.",Уильям Сомерсет Моэм.,False,False
ru_rag,Какое произведение Чехова послужило основой для кинофильма «Мой ласковый и нежный зверь»?,«Драма на охоте».,"""Дама с собачкой"" (The Lady with the Dog).",False,False
ru_rag,Где находится город Ош?,В Киргизии,В Кыргызстане.,False,False
ru_rag,"""В каком пригороде Санкт-Петербурга можно полюбоваться Янтарной комнатой?""",Пушкин.,Царское Село (Пушкин).,False,False
ru_rag,Какой город является административным центром Амурской области?,Благовещенск,Благовещенск.,True,False
ru_rag,В какой стране прошли зимние Олимпийские игры 2006 года?,Италия,Италия.,True,False
ru_rag,"Кто основал компанию ""Опель""?",Адам Опель,Wilhelm Opel.,False,False
ru_rag,Где находится город Бухара?,Узбекистан,В Узбекистане.,True,False
ru_rag,"Кто поставил знаменитый японо-советский фильм ""Дерсу Узала""?",Акира Куросава,Akira Kurosawa.,False,False
ru_rag,Кто был хозяином коня по кличке Буцефал?,Александр Македонский,Александр Македонский.,True,False
ru_rag,В каком американском городе создано издательство имени Чехова?,Нью-Йорк,Нью-Йорк.,True,False
ru_rag,Где будут проходить летние Олимпийские игры в 2016г.,в Рио-де-Жанейро,Рио-де-Жанейро.,False,False
ru_rag,В какой сборник Николая Гоголя входит повесть «Вий»?,«Миргород».,«Повные собрания сочинений Н.В. Гоголя».,False,False
ru_rag,В какой спортивной игре существует термин «гамбит»?,В шахматах.,Шахматы.,False,False
ru_rag,Кто написал роман «Три товарища»?,Эрих Мария Ремарк,Эрих Мария Ремарк.,True,False
ru_rag,Кто написал роман «Чёрный обелиск»?,Эрих Мария Ремарк,Андрей Кругзаков.,False,False
ru_rag,Кто написал картину «Девочка с персиками»?,Валентин Александрович Серов,Джон Сингер Сарджент.,False,False
ru_rag,В какой стране проводился 18-й чемпионат мира по футболу 2006 года?,Германия,Германия.,True,False
ru_rag,Как называется стадион футбольной команды «Вильяреал»?,Эль Мадригал,Эстадио де ла Керамика (Estadio de la Cerámica).,False,False
ru_rag,Какому композитору пришлось дописать оперу Мусоргского Хованщина?,Римский-Корсаков,Римский-Корсаков.,True,False
ru_rag,Притоком какой реки является Золотая Липа?,Днестр,Реки Сейм.,False,False
ru_rag,Какой певческий голос был у Фёдора Шаляпина?,бас,Бас.,True,False
ru_rag,В каком море находится остров Кимолос?,Эгейское,Эгейское море.,True,False
ru_rag,В какой области творчества прославился австриец Густав Климт?,живопись,"Искусство (живопись), особенно в стиле модерн и сецессион.",True,False
ru_rag,Какой город является административной столицей ЮАР?,Претория,Претория.,True,False
ru_rag,Какой город является столицей штата США Кентукки?,Франкфорт,Франкфорт.,True,False
ru_rag,В какой стране расположены Семь Рильских озёр?,Болгария,Болгария.,True,False
ru_rag,Кто является председателем Русского Географического Общества?,Сергей Шойгу,Сергей Шойгу.,True,False
ru_rag,В каком созвездии находится Крабовидная туманность?,Телец,Телец.,True,False
ru_rag,На каком языке писал и преподавал Парацельс?,немецком,Латыни.,False,False
ru_rag,Чем являются Гавайские острова?,штат США (50-ый),Гавайские острова - это штат США.,False,False
ru_rag,"Кто в 2002 году тренировал Алексея Ягудина, завоевавшего олимпийское золото на соревнованиях фигуристов?",Татьяна Тарасова,Егор Бизин (Egor Bizin).,False,False
ru_rag,Какому государству сейчас принадлежит Тибет?,Китаю,Китай.,False,False
ru_rag,В какой социалистической стране в декабре 1981 года было введено военное положение?,Польша,Польша.,True,False
ru_rag,"Кем был Томас Дилан, фамилию которого в качестве псевдонима взял американский композитор, музыкант и певец Роберт Циммерман?",поэт,Бадди Холли.,False,False
ru_rag,"Какая страна является родиной сыра ""Пармезан""?",Италия,Италия.,True,False
ru_rag,Как звали мать Людовика XIV?,Анна Австрийская,Анн Австрийская.,False,False
ru_rag,"Кто автор романа ""Остров Крым""?",В. Аксенов,Аркадий Штейн.,False,False
ru_rag,В каком городе родился Саади?,Шираз,Шираз.,True,False
ru_rag,Какая наука занимается изучением флагов?,Вексиллология,Вексиллология.,True,False
ru_rag,Какой город представляет швейцарский футбольный клуб «Грассхоппер»?,Цюрих,Цюрих.,True,False
ru_rag,Как называется административный центр китайской провинции Цинхай?,Синин,Синин.,True,False
ru_rag,К какой группе астрономических объектов относятся пульсары?,Нейтронная звезда,Нейтронные звезды.,False,False
ru_rag,"Каково местоположение Пирамиды Джосера, построенной Имхотепом?",Саккара,"Саqqara, Egypt.",False,False
ru_rag,Где находится замок Нойшванштайн?,Германия,"В Баварии, Германия.",True,False
ru_rag,Как зовут сову Гарри Поттера?,Букля,Букля (Buckley),True,False
ru_rag,"Какой штат США американцы называют ""Штат Одинокой звезды""?",Техас,Техас.,True,False
ru_rag,Где находится город Эйзенах?,Свободное государство Тюрингия,"В земле Тюрингия, Германия.",False,False
ru_rag,В какой стране расположен знаменитый пляж Копакабана?,Бразилия,Бразилия.,True,False
ru_rag,"Какой писатель является автором фантастической повести ""Обмен разумов""?",Р. Шекли,Геннадий Гофман.,False,False
ru_rag,"В какой стране сооружен мост Мира, спроектированный итальянским архитектором и французским дизайнером-осветителем?",Грузия,Иордания.,False,False
ru_rag,"Кто режиссер и главный герой фильма ""Танцы с волками""?",Кевин Костнер,"Режиссер - Кевин Костнер, главный герой - Джон Джейкобс.",True,False
ru_rag,В каком городе находится международный аэропорт «Никола Тесла»?,Белград,Белград.,True,False
ru_rag,"Кто автор философского трактата ""О природе вещей""?",Тит Лукреций Кар,Лукреций.,False,False
ru_rag,"В каком городе родился Франциск Скорина — великий культурный деятель, белорусский первопечатник и просветитель?",Полоцк,Бобруйск.,False,False
ru_rag,Кто написал поэму « Руслана и Людмила » ?,ПУШКИН,Александр Сергеевич Пушкин.,True,False
ru_rag,В какой стране произошло восстание под руководством ремесленника Уота Тайлера?,Англия,Англия.,True,False
ru_rag,Кем был Святослав Рихтер?,пианист,Он был советским пианистом.,True,False
ru_rag,В какой стране существует Орден Академических пальм?,Франция,Франция.,True,False
ru_rag,Кто создал социальную сеть Facebook ?,Марк Цукерберг,Марк Цукерберг.,True,False
ru_rag,Кто был первым главным редактором первого издания БСЭ?,О. Ю. Шмидт,В.В. Вишневский.,False,False
ru_rag,Какой из городов является столицей Мадагаскара?,Антананариву,Antananarivo.,False,False
ru_rag,Кто сыграл одну из ролей в фильме «Авиатор»?,К. Бланшетт,Ди Каприо.,False,False
ru_rag,Где находится город Фульда?,Германия,"В земле Бавария, Германия.",True,False
ru_rag,В каком городе находится международный аэропорт Фьюмичино?,Рим,Рим.,True,False
ru_rag,"Какую страну представляет авиакомпания ""Aer Lingus""?",Ирландия,Ирландия.,True,False
ru_rag,Какой художник является автором картины «Воины Апокалипсиса»?,Виктор Васнецов,Борис Валерьевич Шахрин.,False,False
ru_rag,Какая актриса учредила собственный детский благотворительный фонд «Подари жизнь»?,Чулпан Хаматова,Чулпан Хаматова.,True,False
ru_rag,На каком языке Шарль де Костер написал «Легенду о Тиле Уленшпигеле»?,Французском,Нидерландском (фламандском).,False,False
ru_rag,Какой рок-группе принадлежат альбом под названием «Собачья шерсть» («Hair of the Dog»)?,Nazareth,Nazareth.,True,False
ru_rag,Сыном какой страны был Кобо Абэ?,Япония,Японии.,False,False
ru_rag,Какой химический элемент преобладает в составе каменного угля?,Углерод,Углерод.,True,False
ru_rag,Какой композитор написал «Лунную сонату»?,Бетховен,Людвиг ван Бетховен.,True,False
ru_rag,Кто написал книгу «Межзвёздный скиталец»?,Джек Лондон,Иван Ефремов.,False,False
ru_rag,В каком виде спорта слабовидящий кореец Им Дон Хьюн стал двукратным олимпийским чемпионом?,Стрельба из лука,Стрельба из лука.,True,False
ru_rag,"Какое звание носил Маркус Вольф, начальник Главного управления разведки «Штази» МГБ ГДР?",Генерал-полковник,Генерал-майор.,False,False
ru_rag,Кто стал победителем чемпионата России по футболу 2013 - 2014?,ЦСКА,ЦСКА.,True,False
ru_rag,Какой народ впервые применил клинопись?,Шумеры,Шумеры.,True,False
ru_rag,В какой стране промышлял Голландец Шульц?,США,Нидерланды.,False,False
ru_rag,Где расквартирован российский Президентский полк?,В Кремле,"В Москве, в Кремле.",True,False
ru_rag,Где в человеческом организме находится стекловидное тело?,Глаз,В глазу.,True,False
ru_rag,В какой стране родился танец хабанера?,Куба,Испания.,False,False
ru_rag,На каком музыкальном инструменте профессионально играет Вуди Аллен?,Кларнет,Кларнет.,True,False
ru_rag,"Кто написал древнегреческую трагедию ""Семеро против Фив""?",Эсхил,Еврипид.,False,False
ru_rag,"Кто получил злополучное ""яблоко раздора""?",Афродита,Эрис.,False,False
ru_rag,Какую реку пересекает в Санкт-Петербурге Дворцовый мост?,Нева,Неву (Neva).,False,False
ru_rag,Какой язык является официальным на Шри-Ланке?,Сингальский,Сингальский и тамильский.,True,False
ru_rag,В какой латиноамериканской стране в 1979 году победила Сандинистская революция?,Никарагуа,Никарагуа.,True,False
ru_rag,"Кто является автором поэмы ""Песнь о Гайавате""?",Лонгфелло,Николай Гумилев.,False,False
ru_rag,"В каком ирландском замке можно поцеловать Камень Красноречия, чтобы обрести дар убедительности и лести?",Бларни,Замок Бланта (Blount Castle).,False,False
ru_rag,Где находится Озеро Медуз?,Палау,На Соломоновых островах.,False,False
ru_rag,В каком штате США находится Большое Солёное озеро?,Юта,Юта.,True,False
ru_rag,кто поет песню ROAR,Кэти Перри,Katy Perry.,False,False
ru_rag,В какой стране проходили зимние Олимпийские игры 2002 года?,США,США (USA),True,False
ru_rag,"Где в человеческом организме находится ""привратник""?",Желудок,В двенадцатиперстной кишке.,False,False
ru_rag,Кем был по профессии сказочный Урфин Джюс?,Столяр,Он был плотником и изобретателем.,False,False
ru_rag,"Какой город был столицей Королевства Обеих Сицилий, существовавшего в XIX веке?",Неаполь,Палермо.,False,False
ru_rag,В какой стране находится храм Изумрудного Будды,Таиланд,Таиланд.,True,False
ru_rag,Какая страна является местом проведения Зимних Олимпийских игр 2018 года?,Корея,Южная Корея (South Korea),True,False
ru_rag,Как назывался дирижабль Умберто Нобиле на Северный полюс,Италия,Italia.,False,False
ru_rag,Кто является режиссером фильма Дама с собачкой,Иосиф Хейфиц,Иosif Heifits.,False,False
ru_rag,"Кто является лидером-вокалистом британской рок-группы ""Electric Light Orchestra""?",Джефф Линн,Джефф Линн (Jeff Lynne).,True,False
ru_rag,В каком городе родился советский писатель Валентин Пикуль?,Ленинград,Одесса.,False,False
ru_rag,Кто впервые высказал идею существование абсолютного нуля температур,Г. Амонтон,Уильям Томсон (лорд Кельвин),False,False
ru_rag,"Кто является автором композиции ""I Just Called To Say I Love You""?",Стиви Уандер,Стиви Уандер (Stevie Wonder).,True,False
ru_rag,В каком городе находится одна из старейших в Европе Амброзианская библиотека?,Милан,Милан.,True,False
ru_rag,Кто принимал участие в озвучивании мультфильма «Пластилиновая ворона»?,Леонид Броневой,"Юрий Стоянов, Леонид Ярмольник, Михаил Боярский и другие.",False,False
ru_rag,"Какой город является административным центром штата Калифорния, расположенного в США?",Сакраменто,Сакраменто.,True,False
ru_rag,Какой из городов является столицей Камеруна?,Яунде,Яундэ.,False,False
ru_rag,Откуда родом известный модный дизайнер Каролина Херрера?,Венесуэлла,Венесуэла.,False,False
ru_rag,Какой певческий голос у Эми Уайнхаус?,Контральто,Альтовый.,False,False
ru_rag,В какой стране находится памятник природы «Туннель Любви»?,Украина,Украина.,True,False
ru_rag,"Чьим режиссерским дебютом стал фильм ""Дуэлянты"", рассказывающий о растянувшемся на 15 лет поединке двух гусарских офицеров?",Ридли Скотта,Александром Рогожкиным.,False,False
ru_rag,Что стало причиной смерти английского мореплавателя Фрэнсиса Дрейка?,Дизентерия,I don't know.,False,False
ru_rag,"В каком российском городе вы можете посетить ""Музей Арктики и Антарктики""?",Санкт-Петербург,Санкт-Петербург.,True,False
ru_rag,"Кто автор романа ""Грозовой перевал""?",Эмили Бронте,Эмили Бронте.,True,False
ru_rag,Кто считается покровителем Шотландии?,Апостол Андрей,Святой Андрей.,False,False
ru_rag,"В какой стране принята денежная единица ""лари""?",Грузия,Азербайджан.,False,False
ru_rag,В какой стране находится город Учкудук?,Узбекистан,Казахстан.,False,False
ru_rag,Какой англосаксонский король приказал бросить конунга Рагнара Лодброка в яму со змеями?,Элла II Нортумбрийский,Ælle.,False,False
ru_rag,В каком треугольнике есть гипотенуза?,в прямоугольном,Прямоугольный треугольник.,False,False
ru_rag,"К какой форме приближается классический футбольный мяч, накачанный воздухом до абсолютного давления в одну атмосферу?",Усеченный икосаэдр,Сферической.,False,False
ru_rag,Какой комик сыграл в кино Гринча — похитителя Рождества?,Джим Кэрри,Джим Керри.,False,False
ru_rag,В каком городе родился знаменитый аргентинский композитор Астор Пьяццолла?,Мар-дель-Плата,Буэнос-Айрес.,False,False
ru_rag,В каком городе США находится главный Зал и музей славы рок-н-ролла?,Кливленд,Кливленд.,True,False
ru_rag,"Кто после круиза по Тихому океану написал повесть «Путешествие на ""Снарке""»?",Джек Лондон,Герман Гессе.,False,False
