experiment_id,timestamp,chunk_size,chunk_overlap,dense_model,use_bge_small,use_bge_m3,use_splade,top_k,rrf_k,strategy,k_values,success,error_message,latency_ms,total_queries,metrics_recall_at_k,metrics_hit_at_k,metrics_mean_latency_ms,metrics_precision_at_k,metrics_total_queries,metrics_mrr_at_k,metrics_std_latency_ms,metrics_f1_at_k,metrics_ndcg_at_k
chunk_size_768_2,2026-05-13T04:11:03.058153,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,3024.1517999966163,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",29.546225999802118,20.25112579947754,100
chunk_size_1024_3,2026-05-13T04:11:03.058158,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2756.3031999961822,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",26.89754900013213,6.456073365657003,100
chunk_size_256_0,2026-05-13T04:18:02.638633,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,349769.87109999754,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",18.592553093170437,121.4786802080219,18460
chunk_size_512_1,2026-05-13T04:18:02.638642,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,344129.5065999948,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",18.27998951241529,6.166631556468403,18460
chunk_size_768_2,2026-05-13T04:18:02.638646,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,334220.16489999805,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.747072513502705,5.627634376619295,18460
chunk_size_1024_3,2026-05-13T04:18:02.638649,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,324236.7318999968,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.212345725859244,5.650917735496241,18460
chunk_size_256_0,2026-05-13T07:10:15.714385,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,8619.231200005743,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",85.78830299971742,643.6065648391187,100
chunk_size_512_1,2026-05-13T07:10:15.714393,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2180.547999989358,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",21.38880099999369,6.467801064404266,100
chunk_size_768_2,2026-05-13T07:10:15.714399,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2021.5260999975726,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",19.85403499988024,5.565239384888256,100
chunk_size_1024_3,2026-05-13T07:10:15.714403,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2488.69850000483,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",24.472302999492968,8.186030517444397,100
chunk_size_256_0,2026-05-13T07:13:15.017887,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,8580.48369998869,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",85.38091100082966,635.3076705144448,100
chunk_size_512_1,2026-05-13T07:13:15.017892,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2169.341999993776,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",21.31003300033626,5.8970837047536415,100
chunk_size_768_2,2026-05-13T07:13:15.017896,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2125.6318999949144,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",20.849465999781387,5.033366686827663,100
chunk_size_256_0,2026-05-13T07:14:17.644591,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,8783.38470000017,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",87.4270419991808,625.6763140948091,100
chunk_size_512_1,2026-05-13T07:14:17.644597,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2435.424700001022,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",23.934583999798633,12.854104290827564,100
chunk_size_768_2,2026-05-13T07:14:17.644600,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2668.7818999926094,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",26.296822000585962,13.264751385502137,100
chunk_size_1024_3,2026-05-13T07:14:17.644603,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2119.1694000008283,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",20.801315998542123,5.731212739812149,100
chunk_size_256_0,2026-05-13T07:15:31.395160,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,9330.535800007056,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",92.90907999908086,674.4430053956739,100
chunk_size_512_1,2026-05-13T07:15:31.395165,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2585.1417999947444,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",25.42175899987342,7.944972681837889,100
chunk_size_768_2,2026-05-13T07:15:31.395169,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2511.9152999977814,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",24.702822999097407,8.551896064695432,100
chunk_size_1024_3,2026-05-13T07:15:31.395171,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2310.839900004794,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",22.711231999419397,6.875252593365682,100
chunk_size_256_0,2026-05-13T07:16:22.030404,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,9536.888899994665,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",94.97117400009301,675.0159574629108,100
chunk_size_256_0,2026-05-13T07:21:23.516055,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,8992.064600010053,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",89.55145299929427,688.8047747613884,100
chunk_size_512_1,2026-05-13T07:21:23.516061,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2018.4455000126036,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",19.809805999830132,3.5194897420642706,100
chunk_size_768_2,2026-05-13T07:21:23.516065,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2139.324600007967,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",21.008849999052472,6.0577795160161365,100
chunk_size_1024_3,2026-05-13T07:21:23.516067,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2019.9709000007715,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",19.82531299974653,4.272406483830624,100
chunk_size_256_0,2026-05-13T07:25:29.509996,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,23748.482499999227,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",23.43704850008362,210.68827203695767,1000
chunk_size_512_1,2026-05-13T07:25:29.510001,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,17573.187100002542,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.259882799946354,8.001575629722174,1000
chunk_size_768_2,2026-05-13T07:25:29.510005,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,17046.006199991098,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",16.72856999989017,7.762832210370901,1000
chunk_size_1024_3,2026-05-13T07:25:29.510007,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,16583.85489998909,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",16.26848520009662,7.07783071481888,1000
